PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
56,1/24/25,24:43.1,5,2,"Hoover, Chase",800623,Left,SAN_GAU,"Woodward, Woody",8,Right,GAU_ALU,Undefined,2,Top,2,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.91811,-1.750765,1.063583,2081.849808,152.539284,11:00,5.99494,-0.82965,6.56303,-15.37288,18.6504,-9.07296,3.10809,-0.61058,81.36115,-4.743257,-0.585678,0.419817,71.75791,23.540114,162.161255,1493.375566,,,,,44.634,,,5.09736,10.6926,0.75996,50,5.86763,-2.06927,-130.58178,-4.35668,8.69428,30.62094,-13.93631,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,4241bba0-dab3-11ef-b64c-2ba247267c32,89.78312,17.35795,,8.55696,,,,1.10277,3.01379,0.63452,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,24:43.1,2025-01-24T16:24:43.0978030-08:00,2025-01-25T00:24:43.0978030Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,92d8a150-ceb8-4700-9560-28ef10e4f330,53.93301,-131.50081,15.31047,5.99211,-3.93841,-6.96816,0.82598,-2.33021,4.34714,5.846724,1.10527,-91.91722,4.8002,,,,,,,3.02501,41.72302,-24.95971,,,,,,,0.63283,29.60458,-0.803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
57,1/24/25,25:01.1,5,3,"Hoover, Chase",800623,Left,SAN_GAU,"Woodward, Woody",8,Right,GAU_ALU,Undefined,2,Top,2,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.6873,-2.913523,1.279911,2119.454473,155.47753,11:15,5.99624,-0.8705,6.60269,-13.25434,20.35324,-8.71969,2.2198,-0.42448,81.72122,-5.524371,-0.306101,0.417244,73.28973,34.787381,101.73761,4890.21424,,,,,79.13201,,,5.00051,12.01241,0.78656,50,5.7917,-2.5945,-131.5332,-6.97573,8.61204,32.30832,-11.48596,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,4d0689d0-dab3-11ef-b64c-2ba247267c32,90.3367,52.93272,,8.96608,,,,1.21587,2.27485,-0.30609,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,25:01.1,2025-01-24T16:25:01.1136494-08:00,2025-01-25T00:25:01.1136494Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,adc79865-a95a-498d-94a1-700727f502c3,53.89274,-132.48592,16.15416,5.99241,-6.63703,-5.74298,0.86681,-2.84845,4.30602,,1.21587,-17.9588,5.73183,-1.64094,0.39975,-0.09104,0.01878,-0.00285,0.0002,2.27485,61.32739,-18.09805,-0.52965,0.85587,-0.37749,0.11668,-0.02496,0.00274,-0.30609,86.43402,-31.58106,9.59332,-2.47549,0.59877,-0.13156,0.02168,-0.00175,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
58,1/24/25,25:23.7,5,4,"Hoover, Chase",800623,Left,SAN_GAU,"Woodward, Woody",8,Right,GAU_ALU,Undefined,2,Top,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.49562,-3.436754,2.049844,2120.120389,158.760333,11:15,6.0497,-0.69602,6.44611,-14.09501,19.7704,-7.21359,1.71166,0.58702,81.92908,-6.179975,0.742341,0.418841,,,,,,,,,,,,4.38677,11.73772,0.55362,50,5.79907,-4.3999,-131.13738,-8.20485,7.55075,30.72233,-11.97039,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,5a79fd40-dab3-11ef-b64c-2ba247267c32,89.99215,,,8.56653,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,25:23.7,2025-01-24T16:25:23.7229038-08:00,2025-01-25T00:25:23.7229038Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,7e748c46-436d-468b-9b51-eb69a7cc3af3,54.04874,-132.0825,15.36117,6.04582,-7.8366,-5.98519,0.69254,-4.63218,3.77538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
59,1/24/25,25:42.4,5,5,"Hoover, Chase",800623,Left,SAN_GAU,"Woodward, Woody",8,Right,GAU_ALU,Undefined,2,Top,2,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,90.68822,-2.152826,1.366573,2212.154405,167.393019,11:30,6.05137,-0.67349,6.59069,-14.88879,18.55143,-3.88607,2.8366,0.25505,82.0656,-5.053096,0.659976,0.416204,69.50048,-24.264885,22.958664,,,,,6.90535,6.52103,17.666447,0.065776,2.46914,10.76957,0.58156,50,5.89764,-2.98752,-131.64941,-5.30008,4.28056,31.12713,-13.50352,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,6598ab40-dab3-11ef-b64c-2ba247267c32,90.56251,2.76646,,8.62263,,,,0.92877,2.76646,-0.29826,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,25:42.4,2025-01-24T16:25:42.4014318-08:00,2025-01-25T00:25:42.4014318Z,GroundBall,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,00ae291a-591a-4d58-817b-ef5d84d7d33d,53.90496,-132.56948,15.56356,6.0484,-4.90094,-6.75176,0.67174,-3.11404,2.14028,180,0.92512,85.91202,,,,,,,,2.76825,-42.05904,,,,,,,,-0.29981,36.39436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
60,1/24/25,27:15.8,6,1,"Hoover, Chase",800623,Left,SAN_GAU,"O'Connor, McClain",9,Right,GAU_ALU,Undefined,2,Top,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.28132,-2.478276,2.518081,2204.610195,154.316238,11:15,6.10796,-0.62309,6.53032,-13.52536,20.51643,-9.26008,2.70386,0.9166,81.25297,-5.142811,0.837979,0.419931,,,,,,,,,,,,5.60839,11.86544,0.45152,50,5.92928,-5.37117,-130.83637,-5.94614,9.56415,31.77447,-11.93964,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,9d4dfdb0-dab3-11ef-b64c-2ba247267c32,89.75874,,,9.02835,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,27:15.8,2025-01-24T16:27:15.8151150-08:00,2025-01-25T00:27:15.8151150Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,ca289121-f9e3-4b5c-b035-74819bc45d1b,53.96264,-131.79521,15.88723,6.10328,-5.58584,-5.96982,0.61796,-5.65979,4.78207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
61,1/24/25,27:31.8,6,2,"Hoover, Chase",800623,Left,SAN_GAU,"O'Connor, McClain",9,Right,GAU_ALU,Undefined,2,Top,2,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.10479,-3.124702,1.556025,2264.419218,153.17818,11:00,6.08607,-0.77191,6.61502,-12.5469,20.8356,-9.89808,2.17488,-0.17133,81.89372,-5.611005,-0.244448,0.415844,,,,,,,,,,,,5.65374,12.29575,0.66947,50,5.86771,-3.17861,-132.03569,-7.44829,9.79636,32.95395,-10.86889,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,a6d65440-dab3-11ef-b64c-2ba247267c32,90.64076,,,9.21107,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,27:31.8,2025-01-24T16:27:31.7757934-08:00,2025-01-25T00:27:31.7757934Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,38473f4b-0f1a-4b56-b3fa-98eac3351bfc,53.8779,-133.00003,16.47697,6.08102,-7.13024,-5.43445,0.76668,-3.46528,4.89818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
62,1/24/25,28:09.5,6,3,"Hoover, Chase",800623,Left,SAN_GAU,"O'Connor, McClain",9,Right,GAU_ALU,Undefined,2,Top,2,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.27692,-1.894163,1.140743,2124.411718,167.522537,11:30,5.98648,-1.03503,6.62783,-13.478,20.52009,-4.25457,3.12802,-0.34496,80.90523,-4.565709,0.366591,0.419661,,,,,,,,,,,,2.58441,11.7254,0.95911,50,5.85185,-2.43022,-130.92033,-4.58895,4.39263,32.97684,-12.24464,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,bd4f32a0-dab3-11ef-b64c-2ba247267c32,89.81641,,,9.3717,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,28:09.5,2025-01-24T16:28:09.5259630-08:00,2025-01-25T00:28:09.5259630Z,,v3,471258,471258,,"Fernandez, Ian",10001973,Right,SAN_GAU,b6ceca57-29eb-4062-bf67-859c8190bac7,53.86315,-131.88981,16.48842,5.98147,-4.22897,-6.12232,1.03246,-2.55935,2.19632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
63,1/24/25,30:40.7,1,1,"Mazza, Domenic",10,Left,GAU_ALU,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,2,Bottom,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.41168,-2.208342,3.823397,2128.804545,122.248511,10:00,6.29091,-1.81615,4.97885,-28.05576,12.92249,-18.24942,1.8617,0.27924,76.88052,-7.356575,0.608446,0.460732,,,,,,,,,,,,10.10489,7.45311,1.46238,50,6.05495,-7.33531,-122.05822,-5.72541,15.17477,25.04699,-20.98153,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,176c32b0-dab4-11ef-b64c-2ba247267c32,81.80995,,,7.53116,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,30:40.7,2025-01-24T16:30:40.6855150-08:00,2025-01-25T00:30:40.6855150Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,bd46fdcd-2a9a-45db-99b8-a331b4a50379,55.51737,-123.18521,12.52349,6.29133,-4.78135,-10.49077,1.80779,-8.01809,7.58739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
64,1/24/25,30:57.2,1,2,"Mazza, Domenic",10,Left,GAU_ALU,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,2,Bottom,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.24503,-0.008646,4.167178,2355.674349,2.01103,6:00,6.23204,-1.7452,4.77105,-67.59523,-12.76623,-0.51008,0.59089,2.16985,67.68815,-12.033759,4.077488,0.532938,,,,,,,,,,,,1.49425,-5.78764,1.32788,50,6.17137,-7.70383,-106.00833,-2.38916,1.68879,19.27618,-38.71513,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,214c4630-dab4-11ef-b64c-2ba247267c32,70.72575,,,5.55688,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,30:57.2,2025-01-24T16:30:57.2002286-08:00,2025-01-25T00:30:57.2002286Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,09b986f5-16c4-4fff-bd17-16efd3004235,55.7304,-107.04526,9.63809,6.24388,-0.30656,-19.35757,1.74473,-7.79468,0.84439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
65,1/24/25,31:17.0,1,3,"Mazza, Domenic",10,Left,GAU_ALU,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,2,Bottom,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.16301,3.526295,0.939708,2434.473773,331.505697,5:00,6.24955,-1.76914,4.70258,-70.32067,-16.4458,9.93512,3.7414,-0.04915,67.3915,-9.088249,2.685003,0.52828,,,,,,,,,,,,-4.53453,-8.5313,1.66457,50,6.54373,-2.16959,-107.32968,4.04471,-5.21942,20.87191,-41.99393,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,2d1209a0-dab4-11ef-b64c-2ba247267c32,71.34929,,,6.77152,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,31:17.0,2025-01-24T16:31:16.9928686-08:00,2025-01-25T00:31:16.9928686Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,568aa3a4-d2ef-478c-870e-30121b03f546,55.79862,-108.45145,10.43596,6.2657,6.3017,-20.99697,1.77364,-1.88907,-2.60971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
66,1/24/25,31:32.9,1,4,"Mazza, Domenic",10,Left,GAU_ALU,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,2,Bottom,0,2,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.83142,-1.625024,3.810161,2181.112974,130.995238,10:15,6.28789,-1.97303,5.07781,-23.97253,16.46269,-17.32922,2.75452,0.17988,77.02912,-6.076504,0.753861,0.457669,85.70856,25.916064,-45.563579,4373.643788,71.38995,41.20847,-83.68638,250.73276,164.1602,-57.272652,3.429358,9.75894,9.06461,1.62608,50,6.11532,-7.40867,-122.7228,-4.30807,14.79226,25.67041,-18.4342,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,368aa8c0-dab4-11ef-b64c-2ba247267c32,82.35747,44.3672,,7.8023,,,,1.22834,2.92735,-0.2291,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,31:32.9,2025-01-24T16:31:32.9312238-08:00,2025-01-25T00:31:32.9312238Z,LineDrive,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,439a2db5-6f5b-4b04-9381-f0835afe92b3,55.4192,-123.85117,12.8352,6.28688,-3.49778,-9.2171,1.96603,-8.05888,7.39613,,1.22787,79.17487,-19.14126,3.88622,-0.76363,0.09185,0.00163,-0.00293,0.00036,2.92746,54.93671,-20.79912,2.22832,-0.50593,0.13136,-0.032,0.00591,-0.00052,-0.22933,-80.72012,7.67257,-1.0444,0.27511,-0.08963,0.02122,-0.00235,5.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
67,1/24/25,31:54.0,1,5,"Mazza, Domenic",10,Left,GAU_ALU,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,2,Bottom,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.39376,0.023731,3.369486,2375.278172,331.819864,5:00,6.28305,-1.65244,4.84468,-66.94153,-13.41776,8.19422,0.7271,2.2241,68.05967,-11.931529,4.813498,0.526556,,,,,,,,,,,,-2.91138,-6.0526,1.31182,50,6.22809,-6.66425,-107.63595,-2.33309,-3.35106,21.9706,-39.14069,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,433993b0-dab4-11ef-b64c-2ba247267c32,71.58293,,,6.33409,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,31:54.0,2025-01-24T16:31:54.0357614-08:00,2025-01-25T00:31:54.0357614Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,e0ffa21f-130f-4c03-b9ae-9aac7268e7a4,55.6551,-108.78414,10.9853,6.29657,-0.28759,-19.57034,1.65552,-6.48912,-1.67553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
68,1/24/25,32:09.6,1,6,"Mazza, Domenic",10,Left,GAU_ALU,"Kosciusko, Cole",1000364960,Left,SAN_GAU,Undefined,2,Bottom,0,3,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,74.77689,-1.178777,4.464723,1570.312235,103.208623,9:30,6.11533,-1.89336,5.54348,-44.57991,6.75654,-21.05808,1.29522,0.53273,68.18068,-9.35528,0.715213,0.515685,,,,,,,,,,,,12.01615,4.30351,1.52034,50,5.98355,-7.66623,-108.18149,-3.60572,14.09931,20.61336,-27.12448,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,4c7a32e0-dab4-11ef-b64c-2ba247267c32,73.09202,,,6.59621,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,32:09.6,2025-01-24T16:32:09.6440000-08:00,2025-01-25T00:32:09.6440000Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,4b4f3953-8aad-47fb-a601-913dfc95c025,54.95425,-109.12141,10.30668,6.11976,-2.3689,-13.56224,1.88456,-8.30913,7.04966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.19512,2.840646,1.271603,1.569043,0.90152,1.20994,-0.539,-2.97028,4.79107,2.5754,69.51944,9.0626,-55.25589,-2.78375,51.15318,-3.2095,4.98559,25.25213,-14.40553,2.43339,-40.68227,2.47765,High,High,High,,,High,High,High
69,1/24/25,32:37.3,2,1,"Mazza, Domenic",10,Left,GAU_ALU,"Nunez, Corey",1000069356,Right,SAN_GAU,Undefined,2,Bottom,1,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,76.28174,-1.056245,3.386163,1752.268581,104.864162,9:30,6.18713,-1.85189,5.05444,-42.95817,7.3739,-20.8832,1.60931,-0.39503,69.24126,-8.890504,-0.304825,0.510615,88.43061,2.492149,-4.449212,1293.33248,,,,55.77532,52.18377,-4.43593,0.442162,11.50741,4.48941,1.5471,50,6.0526,-5.70338,-110.36791,-3.47304,13.99501,22.21199,-26.71413,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,5cf95fb0-dab4-11ef-b64c-2ba247267c32,73.8177,2.05072,,7.04047,,,,1.84969,1.69566,0.36924,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,32:37.4,2025-01-24T16:32:37.3569518-08:00,2025-01-25T00:32:37.3569518Z,GroundBall,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,03631fbc-0efb-4b8e-b1d5-182dff46da48,55.44319,-111.45799,11.106,6.19087,-2.16202,-13.35707,1.84386,-6.3902,6.99751,26.120908,1.85894,128.90451,-16.65501,,,,,,,1.70656,5.30917,-20.78933,,,,,,,0.37118,-10.111,-1.10587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
70,1/24/25,33:33.4,3,1,"Mazza, Domenic",10,Left,GAU_ALU,"Mendez, Jonathan",1000069131,Right,SAN_GAU,Undefined,2,Bottom,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.81136,-1.238556,3.018166,1655.56416,113.527653,9:45,6.17076,-2.14749,5.41251,-39.53187,10.45422,-20.02111,1.71434,-0.9858,69.1475,-8.504267,-0.544256,0.508857,,,,,,,,,,,,10.91138,6.16571,1.89311,50,6.03336,-5.01233,-109.81336,-3.61885,13.2172,20.89947,-24.70537,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,7e698df0-dab4-11ef-b64c-2ba247267c32,74.07271,,,6.66386,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,33:33.4,2025-01-24T16:33:33.3907950-08:00,2025-01-25T00:33:33.3907950Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,f7a9624b-a3c8-4504-b5af-4872296beae2,55.08342,-110.7766,10.44973,6.17391,-2.4802,-12.35269,2.13817,-5.6215,6.6086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
71,1/24/25,33:50.7,3,2,"Mazza, Domenic",10,Left,GAU_ALU,"Mendez, Jonathan",1000069131,Right,SAN_GAU,Undefined,2,Bottom,1,0,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,74.86854,-0.724199,3.334373,1675.030791,108.051239,9:30,6.10142,-2.01228,5.24334,-43.16187,8.35674,-20.226,1.82282,-0.56067,68.38292,-8.614343,-0.251821,0.516599,87.80075,21.928672,-5.707236,3100.683206,109.90323,38.35934,-4.60741,301.7256,294.51745,2.929206,3.876026,11.16658,4.8804,1.72166,50,6.00286,-5.55192,-108.45039,-2.75076,13.20402,20.23233,-26.40316,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,88bcfcb0-dab4-11ef-b64c-2ba247267c32,72.96269,46.43529,,6.48561,,,,1.74436,1.90027,0.5542,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,33:50.7,2025-01-24T16:33:50.7358190-08:00,2025-01-25T00:33:50.7358190Z,LineDrive,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,dfbbebfe-5866-4dde-a269-95de631b82db,55.25495,-109.42636,10.11617,6.10484,-1.47713,-13.20158,2.00483,-6.18885,6.60201,209.377482,1.74412,118.87124,-20.77702,4.74391,-1.00807,0.20636,-0.03523,0.00378,-0.00017,1.90073,48.07931,-13.07819,-0.19911,0.23929,-0.07336,0.00948,0.00038,-0.00014,0.55434,-11.88325,8.4815,-2.21624,0.52827,-0.11472,0.01942,-0.00204,9.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
72,1/24/25,34:42.9,4,1,"Mazza, Domenic",10,Left,GAU_ALU,"Esquer, Xavier",805022,Right,SAN_GAU,Undefined,2,Bottom,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.1742,-1.695381,3.01314,1646.088535,122.554904,10:00,6.15651,-1.83057,5.14951,-38.11648,12.16768,-16.1843,1.38141,-0.34003,69.15247,-8.6858,0.14792,0.510372,,,,,,,,,,,,9.00323,7.12811,1.56168,50,5.96905,-5.1572,-110.19795,-4.49647,10.92629,21.97086,-23.52341,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,a7cf8be0-dab4-11ef-b64c-2ba247267c32,73.85286,,,7.02173,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,34:42.9,2025-01-24T16:34:42.8806638-08:00,2025-01-25T00:34:42.8806638Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,5e2ad23f-47c8-4833-8137-44744deea823,55.34572,-111.25866,10.98543,6.15872,-3.36082,-11.76171,1.82339,-5.6847,5.46315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
73,1/24/25,35:00.9,4,2,"Mazza, Domenic",10,Left,GAU_ALU,"Esquer, Xavier",805022,Right,SAN_GAU,Undefined,2,Bottom,2,0,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.56394,-0.372068,2.224951,1779.425125,113.831794,9:45,6.16603,-1.98561,5.02906,-40.36916,9.8278,-17.94812,2.45061,-1.38095,69.0008,-7.782148,-0.946982,0.509929,,,,,,,,,,,,9.55607,5.56469,1.78774,50,6.09888,-3.55994,-110.76857,-2.06893,11.64993,23.24895,-25.39005,SAN_GAU,SAN_GAU,CaesarUyesaka,TeamExclusive,Team,20250124-CaesarUyesaka-Private-2,b2869e70-dab4-11ef-b64c-2ba247267c32,73.91696,,,7.56314,,,,,,,e2d5b440-508a-48cd-9e58-715d78e5423d,1/25/25,35:00.9,2025-01-24T16:35:00.9001966-08:00,2025-01-25T00:35:00.9001966Z,,v3,471258,471258,,"Yang, Eric",5,Right,SAN_GAU,e1935741-b9eb-45c4-8520-fe8cf966fe03,55.46434,-111.90959,11.62448,6.16984,-0.82283,-12.69503,1.97649,-4.1317,5.82497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
